=== Analysis of LTP Test Output ===
Source file: /home/kidszz/F7LY/ltp_judge/Riscv输出 (6).txt
Analysis time: Fri Aug 15 10:39:53 CST 2025

=== Test Cases Found ===
Total test cases found: 527

Parsing test results using judge_ltp_musl.py...
Successfully parsed results!
Total cases: 527
Total passed: 2751
Total tests: 3041
Pass rate: 90.46%

=== Individual Test Case Results ===
abort01                        | Pass: 1    | Total: 2    | Rate: 50.00%
setregid01                     | Pass: 5    | Total: 5    | Rate: 100.00%
setregid02                     | Pass: 12   | Total: 12   | Rate: 100.00%
setregid03                     | Pass: 22   | Total: 22   | Rate: 100.00%
setregid04                     | Pass: 9    | Total: 9    | Rate: 100.00%
setresgid02                    | Pass: 6    | Total: 6    | Rate: 100.00%
setresgid03                    | Pass: 4    | Total: 4    | Rate: 100.00%
setresuid01                    | Pass: 9    | Total: 9    | Rate: 100.00%
setresuid02                    | Pass: 4    | Total: 4    | Rate: 100.00%
setresuid03                    | Pass: 3    | Total: 3    | Rate: 100.00%
setresuid04                    | Pass: 3    | Total: 3    | Rate: 100.00%
setresuid05                    | Pass: 2    | Total: 2    | Rate: 100.00%
setreuid01                     | Pass: 7    | Total: 7    | Rate: 100.00%
setreuid02                     | Pass: 7    | Total: 7    | Rate: 100.00%
setreuid03                     | Pass: 14   | Total: 14   | Rate: 100.00%
setreuid04                     | Pass: 3    | Total: 3    | Rate: 100.00%
setreuid05                     | Pass: 14   | Total: 14   | Rate: 100.00%
setreuid06                     | Pass: 3    | Total: 3    | Rate: 100.00%
setreuid07                     | Pass: 3    | Total: 3    | Rate: 100.00%
setrlimit02                    | Pass: 2    | Total: 2    | Rate: 100.00%
setrlimit03                    | Pass: 2    | Total: 2    | Rate: 100.00%
setrlimit05                    | Pass: 1    | Total: 1    | Rate: 100.00%
setsockopt01                   | Pass: 8    | Total: 8    | Rate: 100.00%
setsockopt03                   | Pass: 1    | Total: 2    | Rate: 50.00%
setsockopt04                   | Pass: 1    | Total: 1    | Rate: 100.00%
setuid01                       | Pass: 1    | Total: 1    | Rate: 100.00%
setuid03                       | Pass: 1    | Total: 1    | Rate: 100.00%
setuid04                       | Pass: 2    | Total: 2    | Rate: 100.00%
signal01                       | Pass: 6    | Total: 6    | Rate: 100.00%
signal02                       | Pass: 3    | Total: 3    | Rate: 100.00%
signal03                       | Pass: 2    | Total: 2    | Rate: 100.00%
signal04                       | Pass: 28   | Total: 28   | Rate: 100.00%
signal05                       | Pass: 2    | Total: 3    | Rate: 66.66%
sigpending02                   | Pass: 4    | Total: 5    | Rate: 80.00%
sigtimedwait01                 | Pass: 2    | Total: 11   | Rate: 18.18%
sigwait01                      | Pass: 1    | Total: 3    | Rate: 33.33%
sigwaitinfo01                  | Pass: 2    | Total: 9    | Rate: 22.22%
socket01                       | Pass: 9    | Total: 9    | Rate: 100.00%
socket02                       | Pass: 4    | Total: 4    | Rate: 100.00%
socketpair01                   | Pass: 10   | Total: 10   | Rate: 100.00%
socketpair02                   | Pass: 4    | Total: 4    | Rate: 100.00%
sockioctl01                    | Pass: 0    | Total: 0    | Rate: N/A
splice01                       | Pass: 1    | Total: 1    | Rate: 100.00%
splice02                       | Pass: 1    | Total: 1    | Rate: 100.00%
splice03                       | Pass: 2    | Total: 7    | Rate: 28.57%
stat01                         | Pass: 12   | Total: 12   | Rate: 100.00%
stat02                         | Pass: 2    | Total: 2    | Rate: 100.00%
stat03                         | Pass: 5    | Total: 6    | Rate: 83.33%
statfs02                       | Pass: 6    | Total: 6    | Rate: 100.00%
statfs03                       | Pass: 1    | Total: 1    | Rate: 100.00%
statvfs02                      | Pass: 5    | Total: 5    | Rate: 100.00%
stime01                        | Pass: 0    | Total: 3    | Rate: 0%
stime02                        | Pass: 1    | Total: 3    | Rate: 33.33%
symlink02                      | Pass: 1    | Total: 1    | Rate: 100.00%
symlink04                      | Pass: 2    | Total: 2    | Rate: 100.00%
syscall01                      | Pass: 3    | Total: 3    | Rate: 100.00%
syslog12                       | Pass: 5    | Total: 6    | Rate: 83.33%
tee01                          | Pass: 1    | Total: 1    | Rate: 100.00%
tee02                          | Pass: 3    | Total: 3    | Rate: 100.00%
time01                         | Pass: 2    | Total: 2    | Rate: 100.00%
timer_delete01                 | Pass: 8    | Total: 8    | Rate: 100.00%
timer_delete02                 | Pass: 1    | Total: 1    | Rate: 100.00%
times01                        | Pass: 1    | Total: 1    | Rate: 100.00%
timer_settime02                | Pass: 48   | Total: 48   | Rate: 100.00%
tkill01                        | Pass: 2    | Total: 2    | Rate: 100.00%
tkill02                        | Pass: 2    | Total: 2    | Rate: 100.00%
truncate02                     | Pass: 2    | Total: 2    | Rate: 100.00%
truncate02_64                  | Pass: 2    | Total: 2    | Rate: 100.00%
truncate03                     | Pass: 8    | Total: 8    | Rate: 100.00%
truncate03_64                  | Pass: 8    | Total: 8    | Rate: 100.00%
uname01                        | Pass: 2    | Total: 2    | Rate: 100.00%
uname02                        | Pass: 1    | Total: 1    | Rate: 100.00%
uname04                        | Pass: 2    | Total: 2    | Rate: 100.00%
unlink05                       | Pass: 2    | Total: 2    | Rate: 100.00%
unlink07                       | Pass: 6    | Total: 6    | Rate: 100.00%
unlinkat01                     | Pass: 7    | Total: 7    | Rate: 100.00%
unshare01                      | Pass: 3    | Total: 3    | Rate: 100.00%
unshare02                      | Pass: 2    | Total: 2    | Rate: 100.00%
utime07                        | Pass: 5    | Total: 5    | Rate: 100.00%
utsname01                      | Pass: 1    | Total: 1    | Rate: 100.00%
utsname03                      | Pass: 1    | Total: 2    | Rate: 50.00%
utsname04                      | Pass: 2    | Total: 4    | Rate: 50.00%
vhangup01                      | Pass: 1    | Total: 1    | Rate: 100.00%
vhangup02                      | Pass: 1    | Total: 1    | Rate: 100.00%
vmsplice02                     | Pass: 3    | Total: 3    | Rate: 100.00%
wait01                         | Pass: 1    | Total: 1    | Rate: 100.00%
wait02                         | Pass: 1    | Total: 1    | Rate: 100.00%
wait402                        | Pass: 1    | Total: 1    | Rate: 100.00%
waitid01                       | Pass: 5    | Total: 5    | Rate: 100.00%
waitid02                       | Pass: 1    | Total: 1    | Rate: 100.00%
waitid03                       | Pass: 1    | Total: 1    | Rate: 100.00%
waitid04                       | Pass: 2    | Total: 2    | Rate: 100.00%
waitid05                       | Pass: 6    | Total: 6    | Rate: 100.00%
waitid06                       | Pass: 6    | Total: 6    | Rate: 100.00%
waitid07                       | Pass: 5    | Total: 5    | Rate: 100.00%
waitid09                       | Pass: 1    | Total: 1    | Rate: 100.00%
waitid11                       | Pass: 3    | Total: 5    | Rate: 60.00%
waitpid01                      | Pass: 106  | Total: 118  | Rate: 89.83%
waitpid03                      | Pass: 2    | Total: 2    | Rate: 100.00%
waitpid04                      | Pass: 4    | Total: 4    | Rate: 100.00%
waitpid06                      | Pass: 1    | Total: 1    | Rate: 100.00%
waitpid07                      | Pass: 1    | Total: 1    | Rate: 100.00%
waitpid08                      | Pass: 1    | Total: 1    | Rate: 100.00%
waitpid09                      | Pass: 4    | Total: 4    | Rate: 100.00%
waitpid10                      | Pass: 1    | Total: 1    | Rate: 100.00%
waitpid11                      | Pass: 1    | Total: 1    | Rate: 100.00%
waitpid12                      | Pass: 1    | Total: 1    | Rate: 100.00%
waitpid13                      | Pass: 1    | Total: 1    | Rate: 100.00%
write02                        | Pass: 2    | Total: 2    | Rate: 100.00%
write03                        | Pass: 1    | Total: 1    | Rate: 100.00%
write04                        | Pass: 1    | Total: 1    | Rate: 100.00%
write05                        | Pass: 3    | Total: 3    | Rate: 100.00%
write06                        | Pass: 2    | Total: 2    | Rate: 100.00%
writev01                       | Pass: 6    | Total: 6    | Rate: 100.00%
writev07                       | Pass: 8    | Total: 8    | Rate: 100.00%

=== Overall Statistics ===
Total test cases analyzed: 527
Total passed tests: 2751
Total tests executed: 3041
Overall pass rate: 90.46%

=== Failed Tests Analysis ===
TPASS count: 2763
TFAIL count: 200

Sample failed tests:
  abort01.c:60: [1;31mTFAIL: [0mabort() failed to dump core
  accept4_01.c:134: [1;31mTFAIL: [0mClose-on-exec flag mismatch, 0 vs 1
  access02.c:129: [1;31mTFAIL: [0mexecute file_x as root failed: ENOENT (2)
  access02.c:129: [1;31mTFAIL: [0mexecute file_x as nobody failed: ENOENT (2)
  access02.c:129: [1;31mTFAIL: [0mexecute file_x as root failed: ENOENT (2)
  access02.c:129: [1;31mTFAIL: [0mexecute file_x as nobody failed: ENOENT (2)
  adjtimex01.c:26: [1;31mTFAIL: [0madjtimex() with mode 0x403f : EINVAL (22)
  adjtimex02.c:100: [1;31mTFAIL: [0madjtimex() error expected EPERM: EINVAL (22)
  adjtimex02.c:100: [1;31mTFAIL: [0madjtimex() error expected EPERM: EINVAL (22)
  alarm05.c:30: [1;31mTFAIL: [0malarm(1) retval 10 != 9: SUCCESS (0)
  ... and 190 more failed tests

=== System Information ===
